0,6,"[0, 0, 0, 0]",-90,"[10, 0]"
1,6,"[0, 0, 0, 0]",-80,"[10, 0]"
2,6,"[0, 0, 0, 0]",-70,"[10, 0]"
3,6,"[0, 0, 0, 0]",-60,"[10, 0]"
4,6,"[0, 0, 0, 0]",-50,"[10, 0]"
5,6,"[0, 0, 0, 0]",-40,"[10, 0]"
6,6,"[0, 0, 0, 0]",-30,"[10, 0]"
7,6,"[0, 0, 0, 0]",-20,"[10, 0]"
8,6,"[0, 0, 0, 0]",-10,"[10, 0]"
9,6,"[0, 0, 0, 0]",0,"[10, 0]"
10,0,"[221, 114, 399, 470]",-3,"[134, 20]"
11,0,"[318, 123, 463, 474]",22,"[97, 9]"
12,0,"[385, 138, 528, 476]",42,"[67, 15]"
13,0,"[503, 139, 634, 480]",77,"[118, 1]"
14,0,"[546, 149, 640, 476]",85,"[43, 10]"
15,9,"[0, 0, 0, 0]",-91,"[8, 0]"
16,9,"[0, 0, 0, 0]",-82,"[8, 0]"
17,9,"[0, 0, 0, 0]",-73,"[8, 0]"
18,9,"[0, 0, 0, 0]",-64,"[8, 0]"
19,9,"[0, 0, 0, 0]",-55,"[8, 0]"
20,9,"[0, 0, 0, 0]",-46,"[8, 0]"
21,9,"[0, 0, 0, 0]",-37,"[8, 0]"
22,9,"[0, 0, 0, 0]",-28,"[8, 0]"
23,9,"[0, 0, 0, 0]",-19,"[8, 0]"
24,9,"[0, 0, 0, 0]",-10,"[8, 0]"
25,9,"[0, 0, 0, 0]",-1,"[8, 0]"
26,9,"[0, 0, 0, 0]",7,"[8, 0]"
27,1,"[58, 56, 236, 469]",-54,"[39, 6]"
28,1,"[151, 36, 269, 480]",-34,"[93, -20]"
29,1,"[192, 86, 318, 447]",-20,"[41, 50]"
30,1,"[261, 44, 363, 480]",-2,"[69, -42]"
31,1,"[0, 0, 0, 0]",22,"[24, 0]"
32,1,"[0, 0, 0, 0]",46,"[24, 0]"
33,1,"[0, 0, 0, 0]",70,"[24, 0]"
34,1,"[497, 60, 607, 325]",72,"[73, -19]"
35,1,"[551, 55, 640, 322]",86,"[54, -5]"
36,10,"[0, 0, 0, 0]",-92,"[7, 0]"
37,10,"[0, 0, 0, 0]",-84,"[7, 0]"
38,10,"[0, 0, 0, 0]",-76,"[7, 0]"
39,10,"[0, 0, 0, 0]",-68,"[7, 0]"
40,10,"[0, 0, 0, 0]",-60,"[7, 0]"
41,10,"[0, 0, 0, 0]",-52,"[7, 0]"
42,10,"[0, 0, 0, 0]",-44,"[7, 0]"
43,10,"[0, 0, 0, 0]",-36,"[7, 0]"
44,10,"[0, 0, 0, 0]",-28,"[7, 0]"
45,10,"[0, 0, 0, 0]",-20,"[7, 0]"
46,10,"[0, 0, 0, 0]",-12,"[7, 0]"
47,10,"[0, 0, 0, 0]",-4,"[7, 0]"
48,10,"[0, 0, 0, 0]",3,"[7, 0]"
49,2,"[30, 148, 133, 395]",-74,"[30, 38]"
50,2,"[68, 141, 156, 402]",-65,"[38, -7]"
51,2,"[93, 151, 192, 380]",-55,"[25, 10]"
52,2,"[120, 154, 212, 380]",-48,"[27, 3]"
53,2,"[125, 156, 199, 364]",-49,"[5, 2]"
54,2,"[109, 156, 189, 362]",-53,"[-16, 0]"
55,2,"[79, 148, 168, 368]",-61,"[-30, -8]"
56,12,"[0, 0, 0, 0]",-88,"[11, 0]"
57,12,"[0, 0, 0, 0]",-76,"[11, 0]"
58,12,"[0, 0, 0, 0]",-64,"[11, 0]"
59,12,"[0, 0, 0, 0]",-52,"[11, 0]"
60,12,"[0, 0, 0, 0]",-40,"[11, 0]"
61,12,"[0, 0, 0, 0]",-28,"[11, 0]"
62,12,"[0, 0, 0, 0]",-16,"[11, 0]"
63,12,"[0, 0, 0, 0]",-4,"[11, 0]"
64,12,"[0, 0, 0, 0]",7,"[11, 0]"
65,4,"[222, 21, 407, 451]",-1,"[111, -34]"
66,4,"[338, 46, 491, 476]",29,"[116, 25]"
67,4,"[488, 37, 618, 434]",72,"[150, -9]"
68,13,"[0, 0, 0, 0]",-91,"[8, 0]"
69,13,"[0, 0, 0, 0]",-82,"[8, 0]"
70,13,"[0, 0, 0, 0]",-73,"[8, 0]"
71,13,"[0, 0, 0, 0]",-64,"[8, 0]"
72,13,"[0, 0, 0, 0]",-55,"[8, 0]"
73,13,"[0, 0, 0, 0]",-46,"[8, 0]"
74,13,"[0, 0, 0, 0]",-37,"[8, 0]"
75,13,"[0, 0, 0, 0]",-28,"[8, 0]"
76,13,"[0, 0, 0, 0]",-19,"[8, 0]"
77,13,"[0, 0, 0, 0]",-10,"[8, 0]"
78,13,"[0, 0, 0, 0]",-1,"[8, 0]"
79,13,"[0, 0, 0, 0]",7,"[8, 0]"
80,5,"[142, 153, 274, 479]",-35,"[34, -44]"
81,5,"[176, 160, 288, 478]",-27,"[34, 7]"
82,5,"[217, 193, 332, 477]",-14,"[41, 33]"
83,5,"[251, 172, 369, 475]",-3,"[34, -21]"
84,5,"[271, 170, 373, 471]",0,"[20, -2]"
85,5,"[299, 195, 383, 476]",6,"[28, 25]"
86,5,"[316, 203, 402, 434]",12,"[17, 8]"
87,5,"[320, 206, 414, 414]",14,"[4, 3]"
88,5,"[320, 224, 415, 408]",14,"[0, 18]"
89,5,"[337, 213, 414, 410]",17,"[17, -11]"
90,5,"[340, 200, 422, 399]",19,"[3, -13]"
91,5,"[340, 210, 418, 406]",18,"[0, 10]"
92,5,"[338, 206, 424, 394]",19,"[-2, -4]"
93,5,"[347, 218, 419, 405]",19,"[9, 12]"
94,5,"[352, 208, 436, 393]",23,"[5, -10]"
95,5,"[359, 212, 437, 388]",24,"[7, 4]"
96,5,"[359, 214, 436, 384]",24,"[0, 2]"
97,5,"[379, 214, 434, 385]",27,"[20, 0]"
98,5,"[374, 215, 440, 383]",27,"[-5, 1]"
99,5,"[377, 213, 439, 383]",27,"[3, -2]"
100,5,"[384, 214, 438, 380]",28,"[7, 1]"
101,5,"[393, 215, 448, 378]",31,"[9, 1]"
102,5,"[400, 212, 455, 378]",33,"[7, -3]"
103,5,"[403, 215, 454, 376]",33,"[3, 3]"
104,5,"[404, 219, 456, 373]",34,"[1, 4]"
105,5,"[408, 221, 462, 364]",35,"[4, 2]"
106,5,"[415, 223, 466, 362]",37,"[7, 2]"
107,5,"[409, 221, 462, 359]",36,"[-6, -2]"
108,5,"[417, 230, 465, 355]",37,"[8, 9]"
109,5,"[423, 222, 469, 356]",39,"[6, -8]"
110,5,"[423, 221, 466, 357]",38,"[0, -1]"
111,5,"[423, 228, 464, 351]",38,"[0, 7]"
112,5,"[427, 225, 465, 355]",39,"[4, -3]"
113,5,"[431, 233, 472, 348]",41,"[4, 8]"
114,5,"[431, 230, 471, 351]",40,"[0, -3]"
115,5,"[432, 237, 473, 350]",41,"[1, 7]"
116,5,"[441, 232, 483, 346]",44,"[9, -5]"
117,5,"[447, 239, 486, 339]",45,"[6, 7]"
