42,3,"[375, 38, 534, 480]"
45,3,"[95, 19, 267, 468]"
56,2,"[531, 115, 640, 422]"
57,2,"[21, 168, 107, 351]"
58,2,"[386, 115, 542, 457]"
59,2,"[361, 64, 458, 479]"
60,2,"[285, 135, 429, 436]"
62,2,"[167, 154, 335, 417]"
63,2,"[159, 117, 264, 420]"
64,2,"[115, 124, 226, 415]"
65,2,"[94, 117, 181, 413]"
66,2,"[58, 136, 155, 400]"
67,2,"[12, 125, 103, 393]"
68,2,"[0, 130, 79, 395]"
69,2,"[0, 116, 43, 356]"
81,4,"[364, 0, 490, 433]"
82,4,"[525, 0, 640, 480]"
94,5,"[1, 143, 78, 480]"
95,5,"[0, 127, 119, 480]"
96,5,"[12, 148, 117, 480]"
97,5,"[40, 158, 154, 479]"
98,5,"[65, 179, 185, 467]"
99,5,"[89, 168, 199, 475]"
100,5,"[113, 193, 208, 447]"
101,5,"[137, 205, 227, 441]"
102,5,"[151, 184, 243, 439]"
103,5,"[167, 191, 251, 409]"
104,5,"[180, 184, 258, 418]"
105,5,"[192, 196, 262, 418]"
106,5,"[210, 199, 286, 404]"
107,5,"[218, 203, 292, 397]"
108,5,"[227, 203, 295, 399]"
109,5,"[244, 210, 307, 387]"
110,5,"[254, 209, 317, 388]"
111,5,"[259, 212, 325, 384]"
112,5,"[278, 213, 335, 382]"
113,5,"[288, 216, 345, 374]"
114,5,"[295, 211, 352, 380]"
115,5,"[302, 219, 354, 375]"
116,5,"[304, 216, 354, 375]"
117,5,"[313, 220, 365, 365]"
118,5,"[320, 217, 362, 366]"
119,5,"[323, 214, 369, 361]"
120,5,"[330, 217, 382, 363]"
121,5,"[338, 218, 389, 360]"
122,5,"[339, 220, 387, 352]"
123,5,"[343, 220, 392, 353]"
124,5,"[359, 224, 402, 354]"
125,5,"[365, 222, 407, 358]"
126,5,"[372, 226, 407, 351]"
127,5,"[376, 230, 414, 350]"
128,5,"[377, 231, 420, 345]"
129,5,"[383, 234, 422, 345]"
130,5,"[389, 229, 424, 340]"
131,5,"[392, 225, 424, 342]"
132,5,"[396, 223, 430, 342]"
133,5,"[396, 228, 429, 341]"
134,5,"[397, 227, 431, 340]"
135,5,"[397, 229, 429, 342]"
136,5,"[400, 226, 432, 336]"
137,5,"[401, 229, 431, 337]"
138,5,"[398, 229, 428, 337]"
139,5,"[397, 233, 424, 335]"
140,5,"[399, 232, 426, 335]"
141,5,"[401, 233, 428, 335]"
142,5,"[404, 232, 431, 333]"
143,5,"[407, 232, 440, 333]"
144,5,"[413, 232, 447, 330]"
145,5,"[427, 235, 451, 324]"
146,5,"[429, 235, 451, 326]"
147,5,"[431, 237, 453, 325]"
149,5,"[444, 242, 472, 324]"
178,5,"[439, 240, 464, 325]"
179,5,"[432, 233, 459, 328]"
