9,0,"[87, 94, 228, 477]"
10,0,"[221, 114, 399, 470]"
11,0,"[318, 123, 463, 474]"
12,0,"[385, 138, 528, 476]"
13,0,"[503, 139, 634, 480]"
14,0,"[546, 149, 640, 476]"
26,1,"[19, 50, 150, 480]"
27,1,"[58, 56, 236, 469]"
28,1,"[151, 36, 269, 480]"
29,1,"[192, 86, 318, 447]"
30,1,"[261, 44, 363, 480]"
33,1,"[424, 79, 533, 340]"
34,1,"[497, 60, 607, 325]"
35,1,"[551, 55, 640, 322]"
48,2,"[0, 110, 84, 422]"
49,2,"[30, 148, 133, 395]"
50,2,"[68, 141, 156, 402]"
51,2,"[93, 151, 192, 380]"
52,2,"[120, 154, 212, 380]"
53,2,"[125, 156, 199, 364]"
54,2,"[109, 156, 189, 362]"
55,2,"[79, 148, 168, 368]"
64,4,"[111, 55, 253, 469]"
65,4,"[222, 21, 407, 451]"
66,4,"[338, 46, 491, 476]"
67,4,"[488, 37, 618, 434]"
77,5,"[1, 107, 90, 476]"
79,5,"[108, 197, 244, 474]"
80,5,"[142, 153, 274, 479]"
81,5,"[176, 160, 288, 478]"
82,5,"[217, 193, 332, 477]"
83,5,"[251, 172, 369, 475]"
84,5,"[271, 170, 373, 471]"
85,5,"[299, 195, 383, 476]"
86,5,"[316, 203, 402, 434]"
87,5,"[320, 206, 414, 414]"
88,5,"[320, 224, 415, 408]"
89,5,"[337, 213, 414, 410]"
90,5,"[340, 200, 422, 399]"
91,5,"[340, 210, 418, 406]"
92,5,"[338, 206, 424, 394]"
93,5,"[347, 218, 419, 405]"
94,5,"[352, 208, 436, 393]"
95,5,"[359, 212, 437, 388]"
96,5,"[359, 214, 436, 384]"
97,5,"[379, 214, 434, 385]"
98,5,"[374, 215, 440, 383]"
99,5,"[377, 213, 439, 383]"
100,5,"[384, 214, 438, 380]"
101,5,"[393, 215, 448, 378]"
102,5,"[400, 212, 455, 378]"
103,5,"[403, 215, 454, 376]"
104,5,"[404, 219, 456, 373]"
105,5,"[408, 221, 462, 364]"
106,5,"[415, 223, 466, 362]"
107,5,"[409, 221, 462, 359]"
108,5,"[417, 230, 465, 355]"
109,5,"[423, 222, 469, 356]"
110,5,"[423, 221, 466, 357]"
111,5,"[423, 228, 464, 351]"
112,5,"[427, 225, 465, 355]"
113,5,"[431, 233, 472, 348]"
114,5,"[431, 230, 471, 351]"
115,5,"[432, 237, 473, 350]"
116,5,"[441, 232, 483, 346]"
117,5,"[447, 239, 486, 339]"
