0,6,"[0, 0, 0, 0]",-87,"[12, 0]"
1,6,"[0, 0, 0, 0]",-74,"[12, 0]"
2,6,"[0, 0, 0, 0]",-61,"[12, 0]"
3,6,"[0, 0, 0, 0]",-48,"[12, 0]"
4,6,"[0, 0, 0, 0]",-35,"[12, 0]"
5,6,"[0, 0, 0, 0]",-22,"[12, 0]"
6,6,"[0, 0, 0, 0]",-9,"[12, 0]"
7,6,"[0, 0, 0, 0]",3,"[12, 0]"
8,0,"[125, 92, 299, 473]",-33,"[102, -2]"
9,0,"[214, 120, 410, 471]",-2,"[89, 28]"
10,0,"[318, 113, 460, 480]",21,"[104, -7]"
11,0,"[421, 141, 548, 480]",51,"[103, 28]"
12,0,"[480, 142, 637, 477]",74,"[59, 1]"
13,9,"[0, 0, 0, 0]",-93,"[6, 0]"
14,9,"[0, 0, 0, 0]",-86,"[6, 0]"
15,9,"[0, 0, 0, 0]",-79,"[6, 0]"
16,9,"[0, 0, 0, 0]",-72,"[6, 0]"
17,9,"[0, 0, 0, 0]",-65,"[6, 0]"
18,9,"[0, 0, 0, 0]",-58,"[6, 0]"
19,9,"[0, 0, 0, 0]",-51,"[6, 0]"
20,9,"[0, 0, 0, 0]",-44,"[6, 0]"
21,9,"[0, 0, 0, 0]",-37,"[6, 0]"
22,9,"[0, 0, 0, 0]",-30,"[6, 0]"
23,9,"[0, 0, 0, 0]",-23,"[6, 0]"
24,9,"[0, 0, 0, 0]",-16,"[6, 0]"
25,9,"[0, 0, 0, 0]",-9,"[6, 0]"
26,9,"[0, 0, 0, 0]",-2,"[6, 0]"
27,9,"[0, 0, 0, 0]",4,"[6, 0]"
28,1,"[55, 47, 224, 477]",-56,"[54, 8]"
29,1,"[104, 70, 266, 469]",-42,"[49, 23]"
30,1,"[0, 0, 0, 0]",-21,"[20, 0]"
31,1,"[0, 0, 0, 0]",0,"[20, 0]"
32,1,"[0, 0, 0, 0]",20,"[20, 0]"
33,1,"[0, 0, 0, 0]",40,"[20, 0]"
34,1,"[0, 0, 0, 0]",60,"[20, 0]"
35,1,"[454, 74, 566, 344]",59,"[47, -5]"
36,1,"[514, 53, 602, 332]",74,"[60, -21]"
37,10,"[0, 0, 0, 0]",-92,"[7, 0]"
38,10,"[0, 0, 0, 0]",-84,"[7, 0]"
39,10,"[0, 0, 0, 0]",-76,"[7, 0]"
40,10,"[0, 0, 0, 0]",-68,"[7, 0]"
41,10,"[0, 0, 0, 0]",-60,"[7, 0]"
42,10,"[0, 0, 0, 0]",-52,"[7, 0]"
43,10,"[0, 0, 0, 0]",-44,"[7, 0]"
44,10,"[0, 0, 0, 0]",-36,"[7, 0]"
45,10,"[0, 0, 0, 0]",-28,"[7, 0]"
46,10,"[0, 0, 0, 0]",-20,"[7, 0]"
47,10,"[0, 0, 0, 0]",-12,"[7, 0]"
48,10,"[0, 0, 0, 0]",-4,"[7, 0]"
49,10,"[0, 0, 0, 0]",3,"[7, 0]"
50,10,"[0, 0, 0, 0]",10,"[7, 0]"
51,2,"[14, 116, 129, 425]",-77,"[14, -18]"
52,2,"[0, 0, 0, 0]",-73,"[3, 0]"
53,2,"[0, 0, 0, 0]",-69,"[3, 0]"
54,2,"[0, 0, 0, 0]",-65,"[3, 0]"
55,2,"[0, 0, 0, 0]",-61,"[3, 0]"
56,2,"[0, 0, 0, 0]",-57,"[3, 0]"
57,2,"[92, 164, 155, 369]",-61,"[-8, 15]"
58,12,"[0, 0, 0, 0]",-87,"[12, 0]"
59,12,"[0, 0, 0, 0]",-74,"[12, 0]"
60,12,"[0, 0, 0, 0]",-61,"[12, 0]"
61,12,"[0, 0, 0, 0]",-48,"[12, 0]"
62,12,"[0, 0, 0, 0]",-35,"[12, 0]"
63,12,"[0, 0, 0, 0]",-22,"[12, 0]"
64,12,"[0, 0, 0, 0]",-9,"[12, 0]"
65,12,"[0, 0, 0, 0]",3,"[12, 0]"
66,4,"[94, 21, 272, 447]",-42,"[89, 21]"
67,4,"[0, 0, 0, 0]",17,"[59, 0]"
68,4,"[0, 0, 0, 0]",76,"[59, 0]"
69,4,"[495, 12, 632, 462]",76,"[107, -35]"
70,13,"[0, 0, 0, 0]",-92,"[7, 0]"
71,13,"[0, 0, 0, 0]",-84,"[7, 0]"
72,13,"[0, 0, 0, 0]",-76,"[7, 0]"
73,13,"[0, 0, 0, 0]",-68,"[7, 0]"
74,13,"[0, 0, 0, 0]",-60,"[7, 0]"
75,13,"[0, 0, 0, 0]",-52,"[7, 0]"
76,13,"[0, 0, 0, 0]",-44,"[7, 0]"
77,13,"[0, 0, 0, 0]",-36,"[7, 0]"
78,13,"[0, 0, 0, 0]",-28,"[7, 0]"
79,13,"[0, 0, 0, 0]",-20,"[7, 0]"
80,13,"[0, 0, 0, 0]",-12,"[7, 0]"
81,13,"[0, 0, 0, 0]",-4,"[7, 0]"
82,13,"[0, 0, 0, 0]",3,"[7, 0]"
83,5,"[36, 159, 155, 480]",-70,"[13, -40]"
84,5,"[62, 176, 163, 464]",-64,"[26, 17]"
85,5,"[0, 0, 0, 0]",-53,"[11, 0]"
86,5,"[0, 0, 0, 0]",-42,"[11, 0]"
87,5,"[135, 195, 233, 447]",-42,"[11, -15]"
88,5,"[0, 0, 0, 0]",-39,"[2, 0]"
89,5,"[0, 0, 0, 0]",-36,"[2, 0]"
90,5,"[0, 0, 0, 0]",-33,"[2, 0]"
91,5,"[0, 0, 0, 0]",-30,"[2, 0]"
92,5,"[0, 0, 0, 0]",-27,"[2, 0]"
93,5,"[0, 0, 0, 0]",-24,"[2, 0]"
94,5,"[0, 0, 0, 0]",-21,"[2, 0]"
95,5,"[0, 0, 0, 0]",-18,"[2, 0]"
96,5,"[0, 0, 0, 0]",-15,"[2, 0]"
97,5,"[0, 0, 0, 0]",-12,"[2, 0]"
98,5,"[0, 0, 0, 0]",-9,"[2, 0]"
99,5,"[0, 0, 0, 0]",-6,"[2, 0]"
100,5,"[0, 0, 0, 0]",-3,"[2, 0]"
101,5,"[0, 0, 0, 0]",0,"[2, 0]"
102,5,"[0, 0, 0, 0]",2,"[2, 0]"
103,5,"[0, 0, 0, 0]",4,"[2, 0]"
104,5,"[0, 0, 0, 0]",6,"[2, 0]"
105,5,"[321, 221, 371, 373]",8,"[2, 2]"
106,5,"[341, 222, 384, 369]",13,"[20, 1]"
107,5,"[0, 0, 0, 0]",14,"[1, 0]"
108,5,"[0, 0, 0, 0]",15,"[1, 0]"
109,5,"[0, 0, 0, 0]",16,"[1, 0]"
110,5,"[0, 0, 0, 0]",17,"[1, 0]"
111,5,"[0, 0, 0, 0]",18,"[1, 0]"
112,5,"[0, 0, 0, 0]",19,"[1, 0]"
113,5,"[0, 0, 0, 0]",20,"[1, 0]"
114,5,"[0, 0, 0, 0]",21,"[1, 0]"
115,5,"[0, 0, 0, 0]",22,"[1, 0]"
116,5,"[383, 226, 417, 350]",25,"[6, -3]"
117,5,"[0, 0, 0, 0]",26,"[1, 0]"
118,5,"[0, 0, 0, 0]",27,"[1, 0]"
119,5,"[0, 0, 0, 0]",28,"[1, 0]"
120,5,"[0, 0, 0, 0]",29,"[1, 0]"
121,5,"[0, 0, 0, 0]",30,"[1, 0]"
122,5,"[0, 0, 0, 0]",31,"[1, 0]"
123,5,"[0, 0, 0, 0]",32,"[1, 0]"
124,5,"[0, 0, 0, 0]",33,"[1, 0]"
125,5,"[0, 0, 0, 0]",34,"[1, 0]"
126,5,"[0, 0, 0, 0]",35,"[1, 0]"
127,5,"[0, 0, 0, 0]",36,"[1, 0]"
128,5,"[0, 0, 0, 0]",37,"[1, 0]"
129,5,"[0, 0, 0, 0]",38,"[1, 0]"
130,5,"[0, 0, 0, 0]",39,"[1, 0]"
131,5,"[0, 0, 0, 0]",40,"[1, 0]"
132,5,"[0, 0, 0, 0]",41,"[1, 0]"
133,5,"[448, 237, 477, 322]",44,"[17, -5]"
134,5,"[448, 237, 477, 322]",44,"[0, 0]"
135,5,"[448, 237, 477, 322]",44,"[0, 0]"
136,5,"[448, 237, 477, 322]",44,"[0, 0]"
137,5,"[448, 237, 477, 322]",44,"[0, 0]"
138,5,"[448, 237, 477, 322]",44,"[0, 0]"
139,5,"[448, 237, 477, 322]",44,"[0, 0]"
140,5,"[448, 237, 477, 322]",44,"[0, 0]"
141,5,"[448, 237, 477, 322]",44,"[0, 0]"
142,5,"[448, 237, 477, 322]",44,"[0, 0]"
143,5,"[448, 237, 477, 322]",44,"[0, 0]"
144,5,"[448, 237, 477, 322]",44,"[0, 0]"
145,5,"[448, 237, 477, 322]",44,"[0, 0]"
146,5,"[448, 237, 477, 322]",44,"[0, 0]"
147,5,"[448, 237, 477, 322]",44,"[0, 0]"
148,5,"[448, 237, 477, 322]",44,"[0, 0]"
149,5,"[448, 237, 477, 322]",44,"[0, 0]"
150,5,"[448, 237, 477, 322]",44,"[0, 0]"
151,5,"[448, 237, 477, 322]",44,"[0, 0]"
152,5,"[448, 237, 477, 322]",44,"[0, 0]"
153,5,"[448, 237, 477, 322]",44,"[0, 0]"
154,5,"[448, 237, 477, 322]",44,"[0, 0]"
155,5,"[448, 237, 477, 322]",44,"[0, 0]"
156,5,"[448, 237, 477, 322]",44,"[0, 0]"
157,5,"[448, 237, 477, 322]",44,"[0, 0]"
158,5,"[448, 237, 477, 322]",44,"[0, 0]"
159,5,"[448, 237, 477, 322]",44,"[0, 0]"
160,5,"[448, 237, 477, 322]",44,"[0, 0]"
161,5,"[448, 237, 477, 322]",44,"[0, 0]"
162,5,"[448, 237, 477, 322]",44,"[0, 0]"
163,5,"[448, 237, 477, 322]",44,"[0, 0]"
164,5,"[448, 237, 477, 322]",44,"[0, 0]"
165,5,"[448, 237, 477, 322]",44,"[0, 0]"
166,5,"[448, 237, 477, 322]",44,"[0, 0]"
167,5,"[448, 237, 477, 322]",44,"[0, 0]"
168,5,"[448, 237, 477, 322]",44,"[0, 0]"
169,5,"[448, 237, 477, 322]",44,"[0, 0]"
170,5,"[448, 237, 477, 322]",44,"[0, 0]"
171,5,"[448, 237, 477, 322]",44,"[0, 0]"
172,5,"[448, 237, 477, 322]",44,"[0, 0]"
173,5,"[448, 237, 477, 322]",44,"[0, 0]"
174,5,"[448, 237, 477, 322]",44,"[0, 0]"
175,5,"[448, 237, 477, 322]",44,"[0, 0]"
176,5,"[448, 237, 477, 322]",44,"[0, 0]"
177,5,"[448, 237, 477, 322]",44,"[0, 0]"
178,5,"[448, 237, 477, 322]",44,"[0, 0]"
179,5,"[448, 237, 477, 322]",44,"[0, 0]"
