23,0,"[0, 45, 106, 480]"
24,0,"[29, 58, 188, 471]"
25,0,"[102, 45, 256, 480]"
26,0,"[175, 66, 328, 476]"
27,0,"[236, 88, 392, 476]"
28,0,"[306, 103, 455, 466]"
29,0,"[357, 75, 507, 480]"
31,0,"[482, 107, 614, 478]"
32,0,"[522, 107, 640, 480]"
47,1,"[1, 20, 143, 480]"
48,1,"[6, 24, 175, 462]"
49,1,"[90, 35, 264, 480]"
50,1,"[135, 57, 318, 462]"
51,1,"[195, 47, 363, 471]"
53,1,"[318, 49, 434, 343]"
54,1,"[355, 46, 468, 342]"
55,1,"[424, 37, 542, 352]"
56,1,"[468, 38, 586, 334]"
57,1,"[521, 35, 632, 335]"
74,2,"[0, 104, 91, 384]"
75,2,"[18, 113, 136, 420]"
76,2,"[86, 103, 192, 414]"
77,2,"[94, 119, 234, 414]"
79,2,"[210, 115, 356, 421]"
80,2,"[298, 99, 389, 440]"
81,2,"[318, 103, 456, 444]"
82,2,"[413, 98, 506, 442]"
83,2,"[424, 103, 573, 443]"
84,2,"[533, 88, 625, 402]"
95,3,"[8, 0, 177, 442]"
96,3,"[100, 0, 207, 451]"
97,3,"[172, 11, 352, 462]"
99,3,"[383, 0, 533, 449]"
